289: reward=1.83 vs 91.50, winner=blue, r_win=2:24:24, win=21:122:146, time=129/33886
290: reward=1.00 vs 89.09, winner=blue, r_win=2:24:24, win=21:123:146, time=150/34036
291: reward=1.50 vs 0.15, winner=draw, r_win=2:24:24, win=21:123:147, time=148/34183
292: reward=0.00 vs 0.00, winner=draw, r_win=2:24:24, win=21:123:148, time=74/34257
293: reward=1.00 vs 90.25, winner=blue, r_win=2:24:24, win=21:124:148, time=132/34390
294: reward=0.00 vs 0.00, winner=draw, r_win=1:24:25, win=21:124:149, time=74/34464
295: reward=91.89 vs 0.10, winner=red, r_win=2:24:24, win=22:124:149, time=128/34592
296: reward=0.00 vs 0.00, winner=draw, r_win=2:24:24, win=22:124:150, time=110/34702
297: reward=1.00 vs 0.10, winner=draw, r_win=2:24:24, win=22:124:151, time=155/34858
298: reward=1.50 vs 0.15, winner=draw, r_win=2:23:25, win=22:124:152, time=138/34996
